Fluxx Glossary,,,,,,,
Report Date: 05-Nov-2024,,,,,,,
Model Type,Field Name,Label,Use,Theme Name,Form Name,Order,Legacy
Grant Request,grant_agreement_at,Grant Agreement Date,Form Builder,Bundle 1 - Quick Start,Grant,,
Grant Request,grant_agreement_at,Grant Agreement Date,Form Builder,Bundle 2 - Best Practices,Default,,
Grant Request,grant_agreement_at,Grant Agreement Date,Export Format,,,13,
Grant Request,grant_approved_at,Grant approved at,Core Field,,,,
Grant Request,grant_begins_at,Grant begins at,Core Field,,,,
Grant Request,grant_begins_at,Start Date,Form Builder,Bundle 1 - Quick Start,Grant,,
Grant Request,grant_begins_at,Start Date,Form Builder,Bundle 2 - Best Practices,Default,,
Grant Request,grant_begins_at,Grant Start Date,Export Format,,,6,
Grant Request,grant_closed_at,Grant closed at,Core Field,,,,
Grant Request,grant_closed_at,End Date,Form Builder,Bundle 1 - Quick Start,Grant,,
Grant Request,grant_closed_at,End Date,Form Builder,Bundle 2 - Best Practices,Default,,
Grant Request,grant_closed_at,Grant End Date,Export Format,,,7,
Grant Request,grant_ends_at,Grant ends at,Core Field,,,,
Grant Request,grant_id,Grant,Core Field,,,,
Grant Request,grant_or_request_id,Grant or request,Core Field,,,,
Grant Request,grant_or_request_id,Application ID,Export Format,,,1,
Grant Request,granted,Granted,Core Field,,,,
Grant Request,grantee_budget_config,Grantee budget config,Core Field,,,,
Grant Request,grantee_city,Grantee City,Export Format,,,19,
Grant Request,grantee_geo_country,Grantee Country,Export Format,,,21,
Grant Request,grantee_geo_state,Grantee State,Export Format,,,20,
Grant Request,grantee_name_text,Grantee,Export Format,,,16,
Grant Request,grantee_org_owner,Grantee org owner,Core Field,,,,
Grant Request,grantee_org_owner_id.full_name,Primary Contact,Form Builder,Bundle 1 - Quick Start,Grant,,
Grant Request,grantee_org_owner_id.full_name,Primary Contact,Form Builder,Bundle 2 - Best Practices,Default,,
Grant Request,grantee_postal_code,Grantee Postal Code,Export Format,,,22,
Grant Request,grantee_signatory,Grantee signatory,Core Field,,,,
Grant Request,grantee_signatory_id.full_name,Primary Signatory,Form Builder,Bundle 1 - Quick Start,Grant,,
Grant Request,grantee_signatory_id.full_name,Primary Signatory,Form Builder,Bundle 2 - Best Practices,Default,,
Grant Request,grantee_street_address,Grantee Street Address,Export Format,,,17,
Grant Request,grantee_street_address2,Grantee Street Address2,Export Format,,,18,
Grant Request,grantee_user,Grantee user,Core Field,,,,
Grant Request,groupable,Groupable,Core Field,,,,
Grant Request,gs_grant_ends_at,Gs grant ends at,Core Field,,,,
Grant Request,gs_project_name,Gs project name,Core Field,,,,
Grant Request,id,Id,Core Field,,,,
Grant Request,ierf_budget_end_at,Ierf budget end at,Core Field,,,,
Grant Request,ierf_budget_end_at,Final Budget Date,Export Format,,,43,
Grant Request,ierf_due_diligence_board_review,Ierf due diligence board review,Core Field,,,,
Grant Request,ierf_due_diligence_noc4_work,Ierf due diligence noc4 work,Core Field,,,,
Grant Request,ierf_due_diligence_overlap,Ierf due diligence overlap,Core Field,,,,
Grant Request,ierf_due_diligence_risks,Ierf due diligence risks,Core Field,,,,
Grant Request,ierf_goals,Ierf goals,Core Field,,,,
Grant Request,ierf_probability,Ierf probability,Core Field,,,,
Grant Request,ierf_proposed_end_at,Ierf proposed end at,Core Field,,,,
Grant Request,ierf_proposed_end_at,Final Proposal Date,Export Format,,,42,
Grant Request,ierf_tactics,Ierf tactics,Core Field,,,,
Grant Request,index_dirty_at,Index dirty at,Core Field,,,,
Grant Request,index_status,Index status,Core Field,,,,
Grant Request,indexed_at,Indexed at,Core Field,,,,
Grant Request,initial_payment,Initial payment,Core Field,,,,
Grant Request,initial_report,Initial report,Core Field,,,,
Grant Request,initiative,Initiative,Core Field,,,,
Grant Request,interim_payment,Interim payment,Core Field,,,,
Grant Request,internal_notes,Internal Notes,Dynamic Field,,,,
Grant Request,internal_notes,Notes from Internal Review and Board Meeting,Form Builder,Bundle 1 - Quick Start,Grant,,
Grant Request,internal_notes,Notes from Internal Review and Board Meeting,Form Builder,Bundle 2 - Best Practices,Default,,
Grant Request,internal_notes,Internal Notes,Export Format,,,80,
Grant Request,is_fip_theme?,Is fip theme?,Core Field,,,,
Grant Request,is_grant_theme?,Is grant theme?,Core Field,,,,
Grant Request,is_grantee_a_person,Is grantee a person,Core Field,,,,
Grant Request,is_temp_precreate,Is temp precreate,Core Field,,,,
Grant Request,letter_project_summary,Letter project summary,Core Field,,,,
Grant Request,letter_project_summary_without_leading_to,Letter project summary without leading to,Core Field,,,,
Grant Request,letter_request_reports,Letter request reports,Core Field,,,,
Grant Request,list_view_information,List view information,Core Field,,,,
Grant Request,lobbying_activities,Lobbying Activities,Dynamic Field,,,,
Grant Request,lobbying_activities,Does your organization take part in any lobbying activities?,Form Builder,Bundle 2 - Best Practices,Default,,
Grant Request,lobbying_activities,Lobbying Activities,Export Format,,,61,
Grant Request,lobbying_activities_description,Lobbying Activities Description,Dynamic Field,,,,
Grant Request,lobbying_activities_description,Lobbying,Form Builder,Bundle 2 - Best Practices,Default,,
Grant Request,lobbying_activities_description,Lobbying Activities Description,Export Format,,,84,
Grant Request,locked_by,Locked by,Core Field,,,,
Grant Request,locked_until,Locked until,Core Field,,,,
Grant Request,migrate_id,Migrate,Core Field,,,,
Grant Request,migrate_source_name,Migrate source name,Core Field,,,,
Grant Request,model,Model,Core Field,,,,
Grant Request,model_theme,Model theme,Core Field,,,,
Grant Request,multi_year,Multi year,Core Field,,,,
Grant Request,notable,Notable,Core Field,,,,
Grant Request,ofac_result_id,Ofac result,Core Field,,,,
Grant Request,ofac_run_at,Ofac run at,Core Field,,,,
Grant Request,ofac_run_id,Ofac run,Core Field,,,,
Grant Request,ofac_state,Ofac state,Core Field,,,,
Grant Request,outcome_1_original,Outcome 1 Original,Dynamic Field,,,,
Grant Request,outcome_1_original,Outcome 1 Original,Export Format,,,88,
Grant Request,outcome_2_original,Outcome 2 Original,Dynamic Field,,,,
Grant Request,outcome_2_original,Outcome 2 Original,Export Format,,,89,
Grant Request,outcome_3_original,Outcome 3 Original,Dynamic Field,,,,
Grant Request,outcome_3_original,Outcome 3 Original,Export Format,,,90,
Grant Request,outcome_4_original,Outcome 4 Original,Dynamic Field,,,,
Grant Request,outcome_4_original,Outcome 4 Original,Export Format,,,91,
Grant Request,outcome_5_original,Outcome 5 Original,Dynamic Field,,,,
Grant Request,outcome_5_original,Outcome 5 Original,Export Format,,,92,
Grant Request,outcome_count,Outcome Count,Dynamic Field,,,,
Grant Request,outcome_count,Outcome Count,Export Format,,,72,
Grant Request,output_1_original,Output 1 Original,Dynamic Field,,,,
Grant Request,output_1_original,Output 1 Original,Export Format,,,93,
Grant Request,output_2_original,Output 2 Original,Dynamic Field,,,,
Grant Request,output_2_original,Output 2 Original,Export Format,,,94,
Grant Request,output_3_original,Output 3 Original,Dynamic Field,,,,
Grant Request,output_3_original,Output 3 Original,Export Format,,,95,
Grant Request,output_4_original,Output 4 Original,Dynamic Field,,,,
Grant Request,output_4_original,Output 4 Original,Export Format,,,96,
Grant Request,output_5_original,Output 5 Original,Dynamic Field,,,,
Grant Request,output_5_original,Output 5 Original,Export Format,,,97,
Grant Request,output_count,Output Count,Dynamic Field,,,,
Grant Request,output_count,Output Count,Export Format,,,73,
Grant Request,overall_project_amount,Overall Project Amount,Dynamic Field,,,,
Grant Request,overall_project_amount,Overall Project Amount,Export Format,,,63,
Grant Request,parent,Parent,Core Field,,,,
Grant Request,po_number,Po number,Core Field,,,,
Grant Request,program,Program,Core Field,,,,
Grant Request,program_feedback,Program Feedback,Dynamic Field,,,,
Grant Request,program_feedback,Program Feedback,Form Builder,Bundle 1 - Quick Start,Grant,,
Grant Request,program_feedback,Program Feedback,Form Builder,Bundle 2 - Best Practices,Default,,
Grant Request,program_feedback,Program Feedback,Export Format,,,77,
Grant Request,program_lead,Program lead,Core Field,,,,
Grant Request,program_organization,Program organization,Core Field,,,,
Grant Request,program_organization_cois,Program organization cois,Core Field,,,,
Grant Request,program_organization_id.name,Organization Name,Form Builder,Bundle 1 - Quick Start,Grant,,
